6 2
1 2 10
1 3 6
1 4 11
1 5 8
1 6 5
2 3 9
2 4 3
2 5 2
2 6 4
3 4 8
3 5 7
3 6 2
4 5 5
4 6 6
5 6 9
10 5
1 2 61149
1 3 88455
1 4 59591
1 5 95771
1 6 98254
1 7 60486
1 8 94284
1 9 61356
1 10 947
2 3 16676
2 4 71926
2 5 27881
2 6 35876
2 7 93585
2 8 68260
2 9 93434
2 10 85547
3 4 13414
3 5 59806
3 6 2019
3 7 56447
3 8 4071
3 9 619
3 10 95761
4 5 68065
4 6 4998
4 7 29005
4 8 38796
4 9 32074
4 10 17424
5 6 46714
5 7 96049
5 8 42846
5 9 20175
5 10 33383
6 7 88468
6 8 96065
6 9 8023
6 10 98022
7 8 84429
7 9 41925
7 10 39786
8 9 95777
8 10 17871
9 10 44077
12 5
1 2 99
1 3 23
1 4 41
1 5 42
1 6 63
1 7 52
1 8 52
1 9 41
1 10 37
1 11 12
1 12 35
2 3 37
2 4 92
2 5 80
2 6 28
2 7 91
2 8 89
2 9 87
2 10 88
2 11 15
2 12 33
3 4 52
3 5 14
3 6 82
3 7 14
3 8 37
3 9 26
3 10 91
3 11 43
3 12 70
4 5 18
4 6 47
4 7 15
4 8 84
4 9 91
4 10 34
4 11 71
4 12 92
5 6 79
5 7 94
5 8 79
5 9 16
5 10 77
5 11 18
5 12 33
6 7 79
6 8 18
6 9 98
6 10 8
6 11 69
6 12 31
7 8 97
7 9 80
7 10 72
7 11 21
7 12 63
8 9 75
8 10 48
8 11 87
8 12 42
9 10 80
9 11 77
9 12 43
10 11 82
10 12 87
11 12 43
23 13
1 2 70
1 3 64
1 4 32
1 5 68
1 6 42
1 7 27
1 8 40
1 9 21
1 10 77
1 11 10
1 12 77
1 13 64
1 14 38
1 15 78
1 16 64
1 17 95
1 18 65
1 19 37
1 20 85
1 21 28
1 22 87
1 23 39
2 3 70
2 4 31
2 5 61
2 6 7
2 7 51
2 8 18
2 9 8
2 10 29
2 11 97
2 12 83
2 13 82
2 14 21
2 15 65
2 16 7
2 17 20
2 18 98
2 19 30
2 20 54
2 21 83
2 22 40
2 23 54
3 4 91
3 5 29
3 6 90
3 7 81
3 8 29
3 9 43
3 10 7
3 11 46
3 12 43
3 13 85
3 14 19
3 15 80
3 16 95
3 17 53
3 18 53
3 19 51
3 20 50
3 21 62
3 22 87
3 23 58
4 5 10
4 6 54
4 7 44
4 8 9
4 9 69
4 10 23
4 11 20
4 12 38
4 13 14
4 14 32
4 15 97
4 16 30
4 17 68
4 18 9
4 19 64
4 20 21
4 21 53
4 22 71
4 23 59
5 6 47
5 7 28
5 8 81
5 9 91
5 10 68
5 11 45
5 12 84
5 13 96
5 14 31
5 15 96
5 16 18
5 17 89
5 18 66
5 19 71
5 20 89
5 21 6
5 22 76
5 23 57
6 7 60
6 8 31
6 9 6
6 10 91
6 11 36
6 12 57
6 13 56
6 14 28
6 15 71
6 16 90
6 17 87
6 18 62
6 19 74
6 20 41
6 21 31
6 22 26
6 23 53
7 8 100
7 9 18
7 10 50
7 11 20
7 12 99
7 13 77
7 14 74
7 15 47
7 16 14
7 17 84
7 18 92
7 19 74
7 20 31
7 21 7
7 22 83
7 23 50
8 9 28
8 10 72
8 11 81
8 12 49
8 13 73
8 14 27
8 15 49
8 16 14
8 17 18
8 18 61
8 19 92
8 20 64
8 21 48
8 22 43
8 23 63
9 10 39
9 11 68
9 12 6
9 13 80
9 14 31
9 15 35
9 16 31
9 17 7
9 18 54
9 19 19
9 20 11
9 21 58
9 22 49
9 23 92
10 11 39
10 12 36
10 13 78
10 14 32
10 15 74
10 16 20
10 17 50
10 18 63
10 19 31
10 20 61
10 21 37
10 22 29
10 23 73
11 12 90
11 13 33
11 14 18
11 15 60
11 16 93
11 17 28
11 18 29
11 19 23
11 20 78
11 21 96
11 22 23
11 23 16
12 13 99
12 14 70
12 15 50
12 16 10
12 17 82
12 18 42
12 19 30
12 20 18
12 21 30
12 22 25
12 23 78
13 14 68
13 15 94
13 16 40
13 17 86
13 18 48
13 19 25
13 20 96
13 21 34
13 22 57
13 23 54
14 15 91
14 16 84
14 17 91
14 18 58
14 19 17
14 20 75
14 21 26
14 22 40
14 23 73
15 16 7
15 17 39
15 18 73
15 19 85
15 20 61
15 21 90
15 22 65
15 23 41
16 17 95
16 18 72
16 19 51
16 20 96
16 21 22
16 22 67
16 23 87
17 18 37
17 19 57
17 20 82
17 21 47
17 22 41
17 23 13
18 19 59
18 20 100
18 21 83
18 22 10
18 23 10
19 20 60
19 21 90
19 22 37
19 23 40
20 21 94
20 22 8
20 23 24
21 22 83
21 23 82
22 23 51
